incident_id,date,province,attack_type,sector,severity,victims_count,financial_loss_idr,is_resolved,response_time_hours,source
INC-000026,2022-09-12,Jawa Barat,Malware,Pemerintahan,High,9107,226426749045.0,True,22.0,Kominfo
INC-001164,2020-11-23,Jawa Timur,Social Engineering,Kesehatan,Medium,172,718095356.0,True,26.0,BSSN
INC-000915,2021-11-18,Banten,Ransomware,Pendidikan,Critical,84161,1244451676160.0,False,,BSSN
INC-000989,2024-05-15,Kalimantan Timur,Social Engineering,E-Commerce,Medium,40,162314960.0,True,144.0,Laporan Publik
INC-000839,2022-07-08,Jawa Timur,SQL Injection,Pendidikan,High,4250,72541613750.0,True,77.0,Kominfo
INC-000187,2023-04-07,Maluku,Insider Threat,Pemerintahan,Medium,584,5803737688.0,False,10.0,BSSN
INC-000591,2022-11-30,Papua Barat,Man-in-the-Middle,Energi,Medium,429,4200611415.0,True,36.0,Kominfo
INC-000948,2024-08-14,DKI Jakarta,Phishing,UMKM,Medium,212,507416488.0,False,15.0,Kepolisian
INC-000741,2024-05-06,Sumatera Utara,Business Email Compromise,Perbankan,Critical,80409,1851893246280.0,True,14.0,Laporan Publik
INC-000615,2023-11-24,Jawa Timur,DDoS,Energi,Critical,1636,102430254480.0,True,92.0,Kepolisian
INC-000783,2023-08-27,Kepulauan Riau,Man-in-the-Middle,Telekomunikasi,High,9293,298415514980.0,False,18.0,Laporan Publik
INC-000014,2023-03-07,DKI Jakarta,Cryptojacking,Transportasi,Medium,569,126990558.0,False,12.0,Laporan Publik
INC-001359,2024-02-18,Maluku Utara,Malware,Energi,Low,99,467629173.0,False,67.0,Laporan Publik
INC-000357,2022-03-17,Kalimantan Tengah,SQL Injection,Telekomunikasi,Medium,421,3903371807.0,True,14.0,BSSN
INC-001461,2023-06-06,Jawa Tengah,Phishing,Fintech,Low,41,217412873.0,True,5.0,Laporan Publik
INC-000629,2024-07-30,Jawa Timur,Social Engineering,UMKM,Medium,582,4982401314.0,True,210.0,BSSN
INC-000970,2024-12-20,Sulawesi Tenggara,Man-in-the-Middle,Kesehatan,High,2497,17766404700.0,False,16.0,BSSN
INC-000272,2020-08-21,Jawa Barat,Social Engineering,E-Commerce,High,7295,227810448500.0,False,14.0,Kominfo
INC-001177,2020-09-24,DKI Jakarta,Phishing,E-Commerce,Medium,339,1255323441.0,True,25.0,Laporan Publik
INC-001222,2021-08-22,Kalimantan Barat,Phishing,Media,Medium,854,6999531742.0,False,52.0,Kepolisian
INC-000103,2021-11-12,Sumatera Barat,Malware,Ritel,High,9879,60835573530.0,False,31.0,BSSN
INC-000677,2021-12-21,Kalimantan Timur,Malware,Telekomunikasi,Low,65,198260465.0,False,6.0,Kominfo
INC-000765,2021-02-24,Jawa Timur,DDoS,Fintech,High,8343,404900974260.0,True,48.0,Kominfo
INC-000664,2023-10-28,DKI Jakarta,Ransomware,Media,Critical,79467,4340390590260.0,False,60.0,Kominfo
INC-000283,2022-09-10,Banten,Zero-Day Exploit,Pendidikan,Critical,39640,1100215335200.0,True,65.0,BSSN
INC-000980,2020-11-16,Jawa Timur,DDoS,Pemerintahan,Low,95,200147045.0,True,80.0,Kepolisian
INC-000795,2024-12-06,Jawa Barat,Ransomware,Manufaktur,Critical,58124,1162513130680.0,False,37.0,Kominfo
INC-001355,2022-10-22,Bali,Ransomware,Energi,Critical,67333,5215241828510.0,True,11.0,Kepolisian
INC-000657,2023-09-14,DKI Jakarta,Data Breach,Kesehatan,High,3910,146061784050.0,True,29.0,Laporan Publik
INC-000974,2024-03-28,Sulawesi Tenggara,Malware,Ritel,High,6069,272804918295.0,True,144.0,BSSN
INC-000681,2023-09-15,DI Yogyakarta,Phishing,Kesehatan,Low,37,252536507.0,True,1.0,Kominfo
INC-000758,2024-03-27,Jawa Tengah,Ransomware,Perbankan,Critical,7083,174836984490.0,True,26.0,BSSN
INC-000212,2024-11-10,Sulawesi Utara,Social Engineering,Perbankan,Medium,298,1648347962.0,True,9.0,Kominfo
INC-001446,2022-07-20,Nusa Tenggara Barat,Phishing,Fintech,Critical,97952,3485457360640.0,True,35.0,Kepolisian
INC-000144,2023-12-18,Maluku Utara,Ransomware,Pendidikan,Critical,86149,7171703522830.0,False,5.0,Kepolisian
INC-001427,2024-03-17,Banten,Ransomware,Energi,High,332,,True,16.0,Kepolisian
INC-000747,2022-05-02,Nusa Tenggara Barat,DDoS,Transportasi,Critical,39773,652276404540.0,True,43.0,Kominfo
INC-000327,2024-07-17,Jawa Barat,Business Email Compromise,Perbankan,High,2613,47909459520.0,True,7.0,Kominfo
INC-000182,2023-11-21,Sumatera Utara,SQL Injection,Fintech,Low,75,,True,29.0,Laporan Publik
INC-001435,2022-04-19,Sulawesi Selatan,Business Email Compromise,Fintech,Medium,377,2890145713.0,True,108.0,Kominfo
INC-000607,2023-03-11,Jawa Timur,Malware,Asuransi,Low,15,125499030.0,True,2.0,BSSN
INC-000027,2023-05-06,DKI Jakarta,Ransomware,Pemerintahan,Critical,75495,4819735936050.0,True,85.0,Laporan Publik
INC-000215,2022-08-06,Kalimantan Tengah,DDoS,Pendidikan,High,356,11732357360.0,True,31.0,Kominfo
INC-000240,2022-04-25,Banten,DDoS,Media,Medium,382,3745536358.0,False,49.0,Kominfo
INC-000636,2021-12-22,Jawa Barat,Data Breach,UMKM,High,3714,104612145150.0,False,87.0,Laporan Publik
INC-000084,2021-09-16,Sulawesi Tengah,Phishing,Ritel,Medium,727,2555996778.0,True,64.0,Laporan Publik
INC-000041,2020-10-26,Riau,Credential Stuffing,Media,Medium,726,2535474414.0,True,143.0,BSSN
INC-001169,2023-07-21,DKI Jakarta,Data Breach,Pemerintahan,Critical,99662,8180518074440.0,True,168.0,Laporan Publik
INC-000372,2022-06-07,Kepulauan Riau,Zero-Day Exploit,Media,Critical,34371,3019076460900.0,False,66.0,Laporan Publik
INC-000705,2023-11-12,DKI Jakarta,Data Breach,Pendidikan,Medium,284,2113656084.0,True,61.0,BSSN
INC-001297,2021-09-14,Jambi,Data Breach,Asuransi,High,8594,212534475610.0,False,24.0,Laporan Publik
INC-000242,2022-12-08,Banten,Social Engineering,Pendidikan,Critical,23620,2074682777000.0,True,169.0,Kominfo
INC-000958,2024-12-03,Jawa Timur,Phishing,Fintech,Medium,802,5384538978.0,False,56.0,Kepolisian
INC-001455,2023-09-11,Jawa Timur,SQL Injection,Energi,High,7724,151643824440.0,True,101.0,BSSN
INC-001045,2023-11-21,Sulawesi Selatan,Zero-Day Exploit,Kesehatan,Low,3,18468285.0,False,0.0,Kominfo
INC-000647,2022-03-28,Maluku Utara,Malware,Manufaktur,High,8039,199864291565.0,False,48.0,Kominfo
INC-000971,2020-10-02,Jawa Barat,Malware,E-Commerce,Low,84,231404040.0,True,13.0,Laporan Publik
INC-001180,2022-04-07,Jawa Timur,SQL Injection,Media,High,5366,115652405290.0,True,,BSSN
INC-000560,2021-12-13,Jawa Barat,Business Email Compromise,Ritel,Medium,248,317295664.0,True,53.0,Laporan Publik
INC-000326,2022-10-03,Kalimantan Timur,Phishing,Telekomunikasi,Medium,884,2356313492.0,False,37.0,Kominfo
INC-000119,2021-11-02,Banten,Ransomware,Asuransi,Critical,13120,,True,0.0,BSSN
INC-000205,2023-03-02,Jawa Timur,Phishing,Perbankan,High,8908,237721738560.0,True,11.0,Kominfo
INC-000933,2020-07-29,DKI Jakarta,Social Engineering,Energi,Low,78,314285478.0,True,85.0,Kominfo
INC-001463,2022-07-25,Maluku,Cryptojacking,Asuransi,High,5108,195639081700.0,True,28.0,Laporan Publik
INC-000268,2024-07-27,Sulawesi Barat,Insider Threat,Manufaktur,Low,27,232687998.0,True,20.0,Kepolisian
INC-001055,2022-03-28,Kalimantan Utara,DDoS,Pendidikan,Low,18,148421124.0,True,112.0,BSSN
INC-000609,2023-02-20,DKI Jakarta,Data Breach,Asuransi,Low,80,528985920.0,True,2.0,Kominfo
INC-000793,2022-12-08,Gorontalo,Social Engineering,Media,Medium,652,2844874208.0,False,8.0,Kepolisian
INC-000108,2022-12-04,Jawa Tengah,Man-in-the-Middle,Kesehatan,Critical,73723,5576680495100.0,True,12.0,Kominfo
INC-000856,2021-05-23,Bangka Belitung,Social Engineering,Pendidikan,Low,41,,False,12.0,Kominfo
INC-000882,2024-11-06,Jawa Barat,Ransomware,UMKM,Critical,7806,137159694360.0,False,19.0,Kominfo
INC-000902,2022-06-25,Jawa Barat,Social Engineering,Telekomunikasi,Low,1,,True,33.0,BSSN
INC-000661,2022-07-05,Jawa Timur,Phishing,Manufaktur,Medium,124,359125700.0,False,119.0,Laporan Publik
INC-001321,2024-11-06,Papua,Social Engineering,Kesehatan,Medium,220,449029240.0,False,37.0,Kominfo
INC-000625,2021-08-18,Jawa Timur,Ransomware,Perbankan,Critical,56184,3780836544720.0,True,49.0,Kepolisian
INC-000694,2023-03-30,Bengkulu,Phishing,UMKM,Medium,373,190332575.0,True,27.0,Laporan Publik
INC-000696,2023-09-25,Banten,Man-in-the-Middle,Kesehatan,Critical,39314,758449619400.0,True,15.0,BSSN
INC-000380,2022-02-22,Papua Barat,DDoS,Pemerintahan,Medium,719,1919295005.0,False,22.0,Kominfo
INC-000544,2024-04-18,DKI Jakarta,SQL Injection,Media,Medium,440,2262742240.0,False,32.0,Laporan Publik
INC-001452,2021-01-13,DKI Jakarta,Zero-Day Exploit,Perbankan,Critical,15481,89662391370.0,True,47.0,Kepolisian
INC-000903,2022-12-15,Sulawesi Barat,Ransomware,Kesehatan,Critical,85739,7663110036020.0,True,1.0,Laporan Publik
INC-001419,2023-01-24,Kalimantan Utara,DDoS,Manufaktur,Critical,37735,3253896219650.0,True,110.0,BSSN
INC-000679,2022-02-18,Jawa Barat,Social Engineering,E-Commerce,Medium,877,8349751247.0,True,165.0,Laporan Publik
INC-001498,2020-11-08,Banten,Data Breach,Perbankan,Medium,390,1088570730.0,False,23.0,Kominfo
INC-001348,2023-09-17,Sulawesi Barat,Malware,Telekomunikasi,Low,77,257310515.0,True,1.0,Kepolisian
INC-000117,2021-08-27,Jawa Barat,Data Breach,Fintech,Medium,142,252086210.0,True,53.0,BSSN
INC-000386,2023-11-14,Jawa Barat,Phishing,Kesehatan,High,9366,277964850450.0,False,50.0,BSSN
INC-000198,2022-12-31,DKI Jakarta,DDoS,Fintech,Medium,364,276384108.0,True,86.0,Kepolisian
INC-000060,2024-05-22,Jawa Tengah,Man-in-the-Middle,Energi,Low,66,249135282.0,True,32.0,BSSN
INC-000460,2023-02-03,Jawa Barat,Social Engineering,Telekomunikasi,Low,71,235520916.0,False,21.0,Kominfo
INC-000090,2022-06-22,DKI Jakarta,Cryptojacking,Pemerintahan,Critical,88310,8240932008200.0,True,12.0,Kepolisian
INC-000289,2023-01-17,Jawa Tengah,Data Breach,Energi,Critical,39262,2761713815060.0,True,4.0,BSSN
INC-000888,2021-02-19,Jawa Tengah,Ransomware,Transportasi,Critical,40220,467109047000.0,False,43.0,BSSN
INC-000601,2023-10-10,DKI Jakarta,Data Breach,Fintech,Critical,33305,3062650865450.0,True,3.0,Laporan Publik
INC-001192,2024-06-25,Jawa Tengah,Social Engineering,Asuransi,High,8964,101892308940.0,False,29.0,Kepolisian
INC-000542,2022-02-27,Kalimantan Utara,Credential Stuffing,Pendidikan,High,6231,28946702445.0,True,26.0,BSSN
INC-000197,2023-08-07,Jawa Timur,Phishing,Pemerintahan,Low,89,189411313.0,True,13.0,Laporan Publik
INC-000414,2023-09-27,Jawa Barat,DDoS,Transportasi,Critical,69122,1492632218740.0,False,30.0,Kominfo
INC-001126,2023-07-16,DKI Jakarta,Data Breach,E-Commerce,Medium,789,332360727.0,False,41.0,Kominfo
INC-000608,2024-09-19,Sulawesi Utara,SQL Injection,Media,Medium,426,,True,45.0,Kepolisian
INC-000445,2023-06-06,Sulawesi Tengah,Malware,Telekomunikasi,High,5418,36649410840.0,True,1.0,Laporan Publik
INC-000010,2024-02-10,DKI Jakarta,DDoS,E-Commerce,High,969,20576889420.0,False,17.0,BSSN
INC-000260,2021-08-22,Jambi,Social Engineering,Pemerintahan,Medium,412,1194365340.0,True,31.0,Laporan Publik
INC-000145,2022-01-04,Jawa Tengah,DDoS,Kesehatan,Medium,541,3615028543.0,True,81.0,BSSN
INC-000384,2022-04-16,Jawa Tengah,Social Engineering,Media,Medium,308,801173296.0,True,61.0,BSSN
INC-000768,2022-08-23,Sumatera Selatan,Credential Stuffing,Media,Low,52,121767256.0,True,25.0,BSSN
INC-000114,2024-07-15,DKI Jakarta,SQL Injection,Telekomunikasi,Medium,875,6077828750.0,True,58.0,BSSN
INC-000251,2022-02-27,Jawa Barat,DDoS,UMKM,Low,81,527355603.0,True,14.0,BSSN
INC-000961,2023-06-12,Sumatera Utara,Ransomware,Perbankan,Critical,19157,1510368531200.0,True,6.0,Kominfo
INC-001109,2024-04-01,Banten,Malware,Transportasi,High,4748,,False,51.0,Laporan Publik
INC-001197,2020-08-20,Banten,Data Breach,Perbankan,Medium,791,6949026756.0,True,8.0,Kepolisian
